date,NDVI,NDTI,VRESTI,NITI
2020-05-06,0.22249064918424605,0.27948535546271447,0.6747803709822705,0.6817349621238666
2020-05-09,0.24342584275445583,0.2676963132858112,0.6859636878160089,0.6936071880587128
2020-05-26,0.2788271747139292,0.2264055017530054,0.5847037859704506,0.5889093402672038
2020-05-29,0.5069808539789726,0.3298533488620547,0.8125716137532875,0.8168003877833789
2020-06-15,0.5116166397715288,0.36629525219251313,0.7927107195555027,0.7982923208777015
2020-06-23,0.40360405749032363,0.30461960184081355,0.703460149284403,0.7148982936201803
2020-06-25,0.4415144186705386,0.3179713579022009,0.6751970864932724,0.6974190048793968
2020-07-23,0.12399642689798307,0.13494836126854512,-0.059867139344408134,0.016486236532966637
2020-08-07,0.15960355919989128,0.1475109113181027,0.048551531965339394,0.09770834666271015
2020-08-12,0.23019605147706662,0.22315589152049622,0.22831371905843872,0.2691525453765029
2020-08-17,0.26431456248041574,0.24784296881550696,0.34623470130037404,0.37610216300152266
2020-09-01,0.12888984148641866,0.09838206317544304,-0.003627416852787075,0.03475027954292454
2020-09-18,0.06239761794306774,0.029086820577917952,-0.17245020766619548,-0.13055432126660482
2020-09-21,0.06177160852793524,0.03593252092118791,-0.18048581548218648,-0.13852311167504966
2020-09-23,0.07657332694690823,0.034166723945208116,-0.1367759148214946,-0.09899028193527899
2020-10-01,0.08387424228073989,0.10170393144248265,-0.08233292299404454,-0.0355963199016963
2020-10-28,0.22576755834042878,0.205400968588991,0.3201661522212485,0.3398717937907244
2020-11-07,0.42042136924699336,0.2754612231690778,0.48024490210258364,0.49448765937527356
2020-11-20,0.5238914135483382,0.3128900057537902,0.587026322774807,0.5964409163067969
2021-02-13,0.016071683152229156,-0.08504846987144449,0.7920565324666564,0.7841847074576215
2021-02-25,0.41742735533078007,0.2965792225685009,0.5589345483362983,0.5698967053182459
2021-03-05,0.49184837200072445,0.2911270756817214,0.5874298503248129,0.6008369751602921
2021-03-22,0.4216721766527189,0.3078201764488799,0.5834746636000366,0.5964399114826964
2021-03-30,0.46003062615893736,0.3442069010413277,0.6551386565827413,0.6671755169356243
